time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,25.36,84.07,162.15,438.41,95.8,399.79,1.4,67.0,100710.0
1990-01-01 01:00:00+00:00,25.79,81.85,324.2,405.71,170.4,401.88,1.46,70.0,100780.0
1990-01-01 02:00:00+00:00,26.21,79.64,499.75,460.88,232.65,403.97,1.52,64.0,100840.0
1990-01-01 03:00:00+00:00,26.64,77.43,578.4,400.05,282.75,406.06,1.58,61.0,100810.0
1990-01-01 04:00:00+00:00,27.06,75.21,466.15,180.82,313.05,408.15,1.64,60.0,100760.0
1990-01-01 05:00:00+00:00,27.49,73.0,567.0,231.73,359.55,410.24,1.7,66.0,100670.0
1990-01-01 06:00:00+00:00,27.91,70.79,674.8,485.94,246.55,412.33,1.75,65.0,100570.0
1990-01-01 07:00:00+00:00,28.34,68.57,656.25,626.76,151.2,414.42,1.81,66.0,100460.0
1990-01-01 08:00:00+00:00,29.87,63.5,488.65,506.4,147.35,419.75,1.24,75.0,100380.0
1990-01-01 09:00:00+00:00,29.16,67.6,255.35,311.68,101.15,417.25,1.03,71.0,100350.0
1990-01-01 10:00:00+00:00,28.03,74.4,83.7,134.66,45.95,417.45,0.69,97.0,100390.0
1990-01-01 11:00:00+00:00,27.39,79.35,1.4,0.0,1.4,417.65,0.69,128.0,100490.0
1990-01-01 12:00:00+00:00,26.36,84.55,0.0,0.0,0.0,414.55,1.17,110.0,100580.0
1990-01-01 13:00:00+00:00,25.64,87.3,0.0,0.0,0.0,416.45,1.45,86.0,100680.0
1990-01-01 14:00:00+00:00,25.13,90.15,0.0,0.0,0.0,413.2,1.52,69.0,100740.0
1990-01-01 15:00:00+00:00,24.66,90.15,0.0,0.0,0.0,408.9,1.52,60.0,100760.0
1990-01-01 16:00:00+00:00,24.28,93.1,0.0,0.0,0.0,408.75,1.45,57.0,100760.0
1990-01-01 17:00:00+00:00,23.86,96.2,0.0,0.0,0.0,402.9,1.52,49.0,100750.0
1990-01-01 18:00:00+00:00,23.46,96.2,0.0,0.0,0.0,398.85,1.45,48.0,100700.0
1990-01-01 19:00:00+00:00,23.46,99.4,0.0,0.0,0.0,396.35,1.66,56.0,100630.0
1990-01-01 20:00:00+00:00,23.42,96.2,0.0,0.0,0.0,397.7,1.72,61.0,100570.0
1990-01-01 21:00:00+00:00,23.21,96.2,0.0,0.0,0.0,392.3,1.66,64.0,100560.0
1990-01-01 22:00:00+00:00,22.9,99.4,0.0,0.0,0.0,391.1,1.38,64.0,100560.0
1990-01-01 23:00:00+00:00,22.71,99.4,0.0,0.0,0.0,396.75,1.24,61.0,100620.0
1990-01-02 00:00:00+00:00,22.91,99.4,177.1,587.24,89.15,389.2,1.31,61.0,100670.0
1990-01-02 01:00:00+00:00,24.74,90.15,356.35,504.89,165.6,396.45,1.52,63.0,100760.0
1990-01-02 02:00:00+00:00,26.17,81.85,552.6,580.84,216.5,402.55,1.72,61.0,100800.0
1990-01-02 03:00:00+00:00,27.56,76.8,642.35,501.5,271.95,406.8,2.14,56.0,100800.0
1990-01-02 04:00:00+00:00,28.52,72.1,812.6,646.88,264.85,416.1,2.28,55.0,100740.0
1990-01-02 05:00:00+00:00,29.44,65.5,824.25,701.7,195.7,418.2,2.0,57.0,100670.0
1990-01-02 06:00:00+00:00,29.7,65.6,697.05,583.1,182.6,416.65,1.31,68.0,100540.0
